date        | value
2011-01-03 | 3ndndfnd
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2001-42-42 |
2033-02-05 | 5
2011-01-03 | bsbsds
2012-01-11 | 214748364864363634643643634634636363

2033-02-05 | 
5
2033-02-05     |      5
    2033-02-05 | 5
2033-02-05| 5
bfsbbfsbs
bsbsb | 5
2024-33-05 | 5
2033--02-05     |      5
2011-01-03 | 1001
2001-02-02 | 5
2009-01-02 | 2
2010-09-15 | 2
2010-11-01 | 2
2010-1a-01 | 2
